City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,La Asuncion,VE,11.0333,-63.8628,80.33,79,35,18.1,scattered clouds
335,Ancud,CL,-41.8697,-73.8203,51.22,88,43,4.21,light rain
336,Kuruman,ZA,-27.4524,23.4325,41.88,60,0,8.79,clear sky
337,Basoko,CD,1.2391,23.616,71.78,94,86,2.33,overcast clouds
338,Gamba,GA,-2.65,10.0,76.82,91,100,3.96,light rain
339,Gat,IL,31.61,34.7642,68.4,76,87,6.78,overcast clouds
340,Evensk,RU,61.95,159.2333,43.39,59,27,4.94,scattered clouds
341,Bossangoa,CF,6.4926,17.4552,70.25,94,100,1.34,overcast clouds
342,Neiafu,TO,-18.65,-173.9833,79.48,89,75,5.75,light rain
343,Ratnagiri,IN,16.9833,73.3,83.68,71,54,5.35,broken clouds
344,Kattivakkam,IN,13.2167,80.3167,81.07,73,100,9.33,overcast clouds
